Year,Governorate,Governorate_a,Locality,0_4_M,5_9_M,10_14_M,15_19_M,20_24_M,25_29_M,30_34_M,35_39_M,40_44_M,45_49_M,50_54_M,55_59_M,60_64_M,65P_M,Unknown_M,0_4_F,5_9_F,10_14_F,15_19_F,20_24_F,25_29_F,30_34_F,35_39_F,40_44_F,45_49_F,50_54_F,55_59_F,60_64_F,65P_F,Unknown_F
2017,Bethlehem,بيت لحم,الوَلَجَة,155,172,155,147,138,110,95,68,79,65,55,60,18,43,0,125,145,140,161,130,103,87,78,63,71,67,35,23,55,0
2017,Bethlehem,بيت لحم,بَتِّير,246,212,231,244,214,214,165,125,141,136,115,94,55,106,0,261,248,240,232,227,195,169,151,129,133,116,67,51,129,0
2017,Bethlehem,بيت لحم,العُبَيْدِيَّة,1236,989,790,827,797,667,506,362,333,295,188,113,93,144,0,1194,919,804,788,732,573,423,345,305,272,212,142,86,171,0
2017,Bethlehem,بيت لحم,مُخَيَّمْ عايدَة,188,164,140,147,146,136,98,83,70,72,72,39,27,38,0,145,149,155,142,142,130,102,89,66,64,66,35,29,60,0
2017,Bethlehem,بيت لحم,خَلَّة النُعْمَان,1,6,6,6,7,4,3,2,3,2,3,1,5,3,0,3,4,6,11,6,1,5,4,6,2,2,4,5,0,0
2017,Bethlehem,بيت لحم,مُخَيَّمْ العَزَّة,72,88,97,101,94,69,44,46,31,49,48,18,11,16,0,74,78,77,84,75,54,46,45,45,49,32,20,14,30,0
2017,Bethlehem,بيت لحم,الخَاص,21,26,29,23,15,17,6,14,10,12,12,5,2,7,0,23,30,22,25,14,9,14,12,14,11,4,3,6,8,0
2017,Bethlehem,بيت لحم,الحَدَّادِيَّة,4,5,4,9,3,3,0,4,3,4,1,0,1,1,0,6,6,5,3,4,1,3,3,2,3,1,1,0,1,0
2017,Bethlehem,بيت لحم,خلة حمامة,91,72,97,80,74,77,48,47,40,46,35,31,15,47,0,84,90,80,79,85,58,57,49,47,28,45,32,20,44,9
2017,Bethlehem,بيت لحم,بئر عونة,92,81,63,54,45,56,70,54,45,26,36,21,11,31,6,94,81,61,52,61,88,60,49,42,28,24,14,16,31,6
2017,Bethlehem,بيت لحم,بِيت جَالا,588,652,577,576,540,531,541,406,392,372,351,300,202,490,4,544,556,607,617,579,510,692,480,375,353,343,305,231,617,9
2017,Bethlehem,بيت لحم,دار صلاح,334,289,254,237,190,181,160,144,159,119,78,53,35,75,1,315,294,257,216,204,189,170,124,123,112,67,41,38,76,4
2017,Bethlehem,بيت لحم,حُوسَان,553,427,404,369,355,300,239,204,206,180,133,96,74,110,0,520,395,371,307,321,311,224,189,170,146,105,96,61,107,0
2017,Bethlehem,بيت لحم,وادي فُوكِين,81,82,61,70,60,60,50,44,29,31,40,22,17,35,0,83,60,66,56,70,66,42,36,31,30,30,27,19,30,0
2017,Bethlehem,بيت لحم, بِيت لَحْم,1468,1406,1354,1365,1366,1162,1333,796,759,685,654,528,371,744,235,1379,1345,1306,1307,1273,1094,1306,798,770,726,653,504,360,933,268
2017,Bethlehem,بيت لحم,بِيت ساحور,605,579,568,574,657,577,436,413,365,343,380,354,245,534,0,501,576,523,600,629,548,442,402,393,356,349,328,239,624,0
2017,Bethlehem,بيت لحم,الدْوحَة,784,786,742,704,631,537,427,368,388,284,259,185,120,187,0,769,793,707,656,613,565,414,422,336,297,203,149,102,188,0
